|land|port|location|city|region|runway|approach|usage|opstatus|coordinates|
|DE|NYS|Nussdorf|Nussdorf|BY|-----6--|RQ|0907||4754N 01236E|
|DE|OOA|Oberdorla|Oberdorla|TH|--3-----|RL|0507||5110N 01025E|
|DE|ODB|Oberleichtersbach|Oberleichtersbach|BY|--3-----|RL|1301||5017N 00948E|
|DE|OOT|Oberrot|Oberrot|BW|--3-----|RQ|0607||4901N 00938E|
|DE|OWT|Oberwinter|Oberwinter|RP|123-----|RL|0601||5036N 00712E|
|DE|59N|Oersdorf|Oersdorf|SH|--3-----|RL|1201||5350N 00959E|
|DE|OLB|Oldenb�ttel|Oldenbuttel|SH|1-3-----|AF|9501|||
|DE|2OB|Ornbau|Ornbau|BY|--3-----|RL|1301||4910N 01039E|
|DE|OSR|Ostermoor|Ostermoor|SH|1-3-----|AF|0212||5354N 00911E|
|DE|NOI|Ottenstein|Ottenstein|NI|--3-----|RL|2001||5157N 00924E|
|DE|CDE|Palzem|Palzem|RP|-23-----|RL|0607||4934N 00622E|
|DE|PZI|Pautzfeld|Pautzfeld|BY|123-----|RL|0507||4946N 01101E|
|DE|PRP|Petersberg|Petersberg|RP|--3-----|RL|0901||4914N 00734E|
|DE|AQ2|Pf�rring|Pforring|BY|1-3-----|RL|1401||4849N 01141E|
|DE|PKS|Plankstadt|Plankstadt|BW|--3-----|RL|0201|||
|DE|POK|Pokrent|Pokrent|MV|--3-----|RL|0507||5339N 01109E|
|DE|PSN|Pottenstein|Pottenstein|BY|--3-----|RL|0507||4946N 01124E|
|DE|67A|Probsteierhagen|Probsteierhagen|SH|--3-----|RL|1201||5422N 01017E|
|DE|62O|Quaal|Quaal|SH|--3-----|RL|1201||5358N 01022E|
|DE|EUH|Raitenbuch|Raitenbuch|BY|-----6--|RL|0901||4911N 01150E|
|DE|R2F|Rastorf|Rastorf|SH|--3-----|RL|1201||5416N 01017E|
|DE|REH|Rednitzhembach|Rednitzhembach|BY|-23-----|AF|9501|||
|DE|RSW|Reichenschwand|Reichenschwand|BY|--3-----|RL|0106||4930N 01122E|
|DE|REK|Reken|Reken|NW|-23-----|AF|9506|||
|DE|REJ|Reutern| Augsburg|Reutern| Augsburg|BY|--3-----|RL|0701||4827N 01038E|
|DE|RDB|Rieden (Amberg-Sulzbach)|Rieden (Amberg-Sulzbach)|BY|--3-----|RQ|0101|||
|DE|RG9|Rilchingen-Hanweiler|Rilchingen-Hanweiler|SL|--3-----|RL|1401||4908N 00703E|
|DE|RQN|Roden|Roden|BY|-----6--|RQ|1007||4953N 00937E|
|DE|RDR|R�hrsdorf|Rohrsdorf|SN|--3-----|RL|0212||5052N 01250E|
|DE|XYD|Rosenthal|Rosenthal|HE|--3-----|RL|1601||5058N 00853E|
|DE|ROT|Rothenburg ob der Tauber|Rothenburg ob der Tauber|BY|-234----|AF|9501|||
|DE|ZIG|R�denau|Rudenau|BY|--3--6--|RL|0901||4943N 00911E|
|DE|RPP|Ruppertshofen| Ostalbkreis|Ruppertshofen| Ostalbkreis|BW|--3-----|RL|0701||4853N 00949E|
|DE|64N|Sagau|Sagau|SH|--3-----|RL|1201||5411N 01041E|
|DE|S2N|Sandersleben|Sandersleben|ST|--3-----|RL|1801||5141N 01134E|
|DE|SW2|Sankt Wolfgang|Sankt Wolfgang|BY|--3-----|RQ|1001||4813N 01208E|
|DE|84L|Schameder|Schameder|NW|--3-----|RL|1207||5100N 00817E|
|DE|SL4|Schenkelberg|Schenkelberg|RP|--3-----|RL|1301||5036N 00747E|
|DE|SL2|Schlaitz|Schlaitz|ST|-----6--|RQ|1001||5140N 01226E|
|DE|SFD|Schl�sselfeld|Schlusselfeld|BY|-23--6--|RL|0907||4945N 01038E|
|DE|FFE|Sch�ffengrund|Schoffengrund|HE|--3-----|RL|1701||5029N 00829E|
|DE|S6C|Sch�newalde|Schonewalde|BB|--3-----|RL|1407||5141N 01336E|
|DE|SOT|Schotten|Schotten|HE|--3-----|AF|9506|||
|DE|74J|Schwaf�rden|Schwaforden|NI|--3-----|RL|1201||5244N 00850E|
|DE|SZD|Schwarzenbach am Wald|Schwarzenbach am Wald|BY|-23-----|RL|0601||5017N 01137E|
|DE|ZFO|Schwerstedt|Schwerstedt|TH|------7-|RL|0901||5058N 01119E|
|DE|SHE|Seeheim-Jugenheim|Seeheim-Jugenheim|HE|-23-----|AF|9501|||
|DE|EMD|Selmsdorf|Selmsdorf|MV|-----6--|RL|2301||5352N 01052E|
|DE|SGI|Siebeldingen|Siebeldingen|RP|-23-----|RL|0701||4913N 00803E|
|DE|ZGM|Simbach|Simbach|BY|-----6--|RL|0901||4834N 01245E|
|DE|SOG|S�gel|Sogel|NI|-23-----|AF|0307||5251N 00731E|
|DE|SOK|Sonsbeck|Sonsbeck|NW|--3-----|AF|9501|||
|DE|SPI|Spiekeroog|Spiekeroog|NI|1-3-----|AF|0212||5346N 00742E|
|DE|SYL|Stadtkyll|Stadtkyll|RP|--3-----|RL|1301||5021N 00632E|
|DE|SFH|Steffenshagen|Steffenshagen|BB|--3-----|RL|1307||5312N 01207E|
|DE|S9T|Steinfurt|Steinfurt|NW|--3-----|RL|1307||5209N 00721E|
|DE|S2Q|Stetten|Stetten|BY|--3-----|RL|1601||4819N 01234E|
|DE|GHJ|Strasburg Uckermark|Strasburg Uckermark|MV|--3-----|RQ|1907||5330N 01345E|
|DE|SSE|Stutensee|Stutensee|BW|-23-----|AF|9506|||
|DE|77A|Sulzburg|Sulzburg|BW|--3-----|RL|1201||4751N 00743E|
|DE|TAM|Tamm|Tamm|BW|-23-----|AF|9501|||
|DE|ZHQ|Tegernheim|Tegernheim|BY|-----6--|RL|0901||4901N 01211E|
|DE|THG|Thalfang|Thalfang|RP|--3-----|AF|9501|||
|DE|TYM|Thyrnau|Thyrnau|BY|--3-----|RL|0501||4837N 01332E|
|DE|TNG|T�ging am Inn|Toging am Inn|BY|-23-----|RL|0501||4815N 01235E|
|DE|62V|Traventhal|Traventhal|SH|--3-----|RL|1201||5354N 01019E|
|DE|TRN|Trossingen|Trossingen|BW|-23-----|AF|9501|||
|DE|UCK|Ueckerm�nde|Ueckermunde|MV|123-----|AF|0212||5344N 01403E|
|DE|ULE|Unsleben|Unsleben|BY|-----6--|RQ|1007||5023N 01016E|
|DE|USL|Unterschleissheim|Unterschleissheim|BY|--3-----|RL|0212||4817N 01134E|
|DE|UHM|�xheim|Uxheim|RP|--3-----|RQ|0607||5020N 00645E|
|DE|VLM|Vellmar|Vellmar|HE|-23-----|RL|0401||5121N 00928E|
|DE|VRW|Viewrow|Viewrow|MV|1-------|RL|2301||5407N 01335E|
|DE|VON|V�hringen|Vohringen|BY|-23-----|AF|9501|||
|DE|WBA|Wachtberg|Wachtberg|NW|--3-----|RL|0201||5037N 00706E|
|DE|ZJB|Walchum|Walchum|NI|-----6--|RL|0901||5256N 00717E|
|DE|XR9|Waldm�ssingen|Waldmossingen|BW|--3--6--|AA|2201||4816N 00829E|
|DE|WM8|Wallmoden|Wallmoden|NI|--3-----|RL|1607||5201N 01018E|
|DE|AGE|Wangerooge|Wangerooge|NI|1-34----|AF|0307||5348N 00754E|
|DE|AEC|Wassenach|Wassenach|RP|--3-----|RQ|1001||5026N 00717E|
|DE|ZWN|Wegeleben|Wegeleben|ST|-----6--|RL|0901||5153N 01110E|
|DE|WDS|Weil der Stadt|Weil der Stadt|BW|-23-----|AF|9501|||
|DE|WQF|Weisendorf|Weisendorf|BY|--3--6--|RQ|1001||4937N 01050E|
|DE|ZDE|Weitendorf|Weitendorf|MV|-----6--|RL|0901||5353N 01216E|
|DE|WKB|Wenkbach|Wenkbach|HE|--3-----|RL|0901||5045N 00843E|
|DE|WXR|Werther|Werther|NW|-----6--|RL|0901||5240N 08250E|
|DE|WSE|Westerstede|Westerstede|NI|--3-----|AF|0307||5315N 00756E|
|DE|WDR|Wiedemar|Wiedemar|SN|--3-----|RL|0201||5128N 01212E|
|DE|WO7|Wiesenthau|Wiesenthau|BY|--3-----|RL|1807||4943N 01108E|
|DE|WH4|Willanzheim|Willanzheim|BY|--3-5---|AA|2301||4941N 01014E|
|DE|WCY|Windischleuba|Windischleuba|TH|--3-----|RL|1301||5102N 01229E|
|DE|WS7|Wissersheim|Wissersheim|NW|--3-----|RL|1607||5049N 00642E|
|DE|WDD|Wittstock an der Dosse|Wittstock an der Dosse|BB|-23-----|RL|1307||5309N 01230E|
|DE|OLK|Wolkenstein|Wolkenstein|SN|123-----|RL|0601||5039N 01304E|
|DE|WTA|W�rth an der Donau|Worth an der Donau|BY|1-3-----|RL|0601||4900N 01224E|
|DE|WZN|Wurzen|Wurzen|SN|-23-----|RL|0201||5122N 01243E|
|DE|WTQ|Zedtwitz|Zedtwitz|BY|-----6--|RL|1201||5022N 01155E|
|DE|ZLO|Zell (Eggstaett)|Zell (Eggstaett)|BY|--3-----|RQ|0907||4756N 01223E|
|DE|ZM5|Zellas-Mehlis|Zellas-Mehlis|TH|--3-----|RL|1301||5040N 01039E|
|DE|ZNZ|Z�llnitz|Zollnitz|TH|--3-----|RL|0201||5052N 01137E|
|DJ|JIB|Djibouti|Djibouti||1--45---|AI|9601|||
|DK|AGE|Allinge|Allinge||1-3-----|RL|0701||5516N 01448E|
|DK|BLE|Balle|Balle||--3-----|RQ|0907||5618N 01016E|
|DK|BKP|Borkop|Borkop||--3-----|RL|0307||5538N 00938E|
|DK|DAN|Cementfabriken Dania|Cementfabriken Dania||1-------|AI|9704|||
|DK|ENV|Engesvang|Engesvang||--3-----|RQ|9501|||
|DK|FBG|Frederiksberg|Frederiksberg||--3-----|RQ|9501|||
|DK|GLJ|Glejbjerg|Glejbjerg|83|--3-----|RL|1301||5533N 00850E|
|DK|HME|Hammel|Hammel||--3-----|RQ|9501|||
|DK|HEU|Herlufmagle|Herlufmagle||--3-----|RQ|0907||5519N 01146E|
|DK|HSY|Hornsyld|Hornsyld||--3-----|RL|0701||5545N 00952E|
|DK|JSD|Jersie Strand|Jersie Strand|85|--3-----|RL|1301||5531N 01213E|
|DK|KLH|Klintholm Havn|Klintholm Havn|85|1-------|AA|1801||5757N 01228E|
|DK|LLS|Lille Skensved|Lille Skensved||-23-----|AF|9606|||
|DK|MBY|Melby|Melby||--3-----|RQ|0907||5539N 01107E|
|DK|NAS|Norre Asmindrup|Norre Asmindrup||--3-----|RQ|0907||5553N 01138E|
|DK|ODD|�ster Doense|Oster Doense||--3-----|RL|0201||5642N 00950E|
|DK|DKA|Rodkaersbro|Rodkaersbro|82|--3-----|RL|1601||5621N 00931E|
|DK|CNL|Sindal|Sindal||--3-----|RL|0201||5727N 01012E|
|DK|SLS|Sollested|Sollested|85|--3-----|RL|1307||5449N 01117E|
|DK|STH|Stoholm|Stoholm|82|--3-----|RL|1601||5629N 09100E|
|DK|TAA|T�strup|Tastrup|84|--3-----|RL|1101||5539N 01219E|
|DK|TRO|Troense|Troense|83|1-------|RL|1307||5502N 01039E|
|DK|VEN|Ven� Havn|Veno Havn||1-------|AI|9704|||
|DO|BRX|Barahona|Barahona||1--4----|AI|9601|||
|DO|LCS|Las Calderas|Las Calderas|17|-----6--|RL|1007||1813N 07030W|
|DO|AZS|Samana International Apt|Samana International Apt|20|---4----|RL|0907||1916N 06944W|
|DZ|AZO|A�n Zaouia|Ain Zaouia|15|--3-----|RL|1301||3632N 00353E|
|DZ|BOU|Boumerdas|Boumerdas|35|--3-----|RL|0501||3646N 00328E|
|DZ|GHZ|Ghazaouet|Ghazaouet|13|123-----|RL|0407|QVX|3506N 00151W|
|DZ|NED|Nedroma|Nedroma|13|-----6--|RL|0901||3500N 01440W|
|DZ|TID|Tiaret|Tiaret||---4----|RQ|0901||3528N 00121E|
|EC|CUE|Cuenca|Cuenca|A|--34----|AI|1101||0253S 07859W|
|EC|LAM|La Man�|La Mana|X|--3-----|RL|1301||0056S 07913W|
|EC|CAR|Pedro Carbo|Pedro Carbo||1-3-----|RL|0601|||
|EC|BOD|Samborondon|Samborondon||-----6--|RL|1107||0211S 07953W|
|EC|VFT|Virgen de Fatima|Virgen de Fatima|G|--34----|AM|2101||0215S 07938W|
|EE|ELV|Elva|Elva|79|--3-----|RL|1301||5814N 02625E|
|EE|KAB|Kaberneeme|Kaberneeme|37|--3-----|RQ|0901||5930N 02515E|
|EE|KEL|Kelvingi|Kelvingi|37|1-------|AA|1201||5933N 02450E|
|EE|LKS|Laaksaare|Laaksaare|79|1-------|AA|1007||5820N 02725E|
|EE|MAR|M�rjamaa|Marjamaa|71|--3-----|RQ|0901||5980N 02443E|
|EE|OMR|Omedu Rand|Omedu Rand|50|1-------|AA|1007||5847N 02659E|
|EE|PVS|Piirivalvesadam|Piirivalvesadam|37|1-------|AA|1007||5927N 02440E|
|EE|RHK|Rohuk�la|Rohukula|56|1------B|AA|1201||5854N 02326E|
|EE|SSO|Soo|Soo|50|1-------|AA|1007||5843N 02707E|
|EE|TGI|Triigi|Triigi|74|1-------|AA|1201||5836N 02243E|
|EE|VEB|Vene-Balti|Vene-Balti|37|1-3----B|AI|1201||5927N 02439E|
|EG|AHM|Al Haram|Al Haram|GZ|-----6--|RL|1107||2927N 03110E|
|EG|EDK|El Dekheila|El Dekheila||1-------|RQ|9506|||
|EG|EPP|Marsa Egyptian Propylene & Polypropylene|Marsa Egyptian Propylene & Polypropylene|PTS|1-3-----|AA|2301||3118N 03209E|
|EG|HHD|Samannud|Samannud|GH|-2---6--|AA|2301||3057N 03114E|
|ES|UAR|A Guarda|A Guarda|PO|--3-----|RQ|0907||4154N 00852W|
|ES|AEJ|Adeje|Adeje|TF|--3-----|RL|1301||2807N 01643W|
|ES|AVA|Aiguaviva|Aiguaviva|GI|--3-----|RL|0407||4156N 00246E|
|ES|AEI|Albalat de la Ribera|Albalat de la Ribera||--3-----|RL|0212||3912N 00023W|
|ES|AKG|Alcal� de Guadaira|Alcala de Guadaira||--3-----|RL|0212||3720N 00550W|
|ES|ACR|Alcora|Alcora||--3-----|RQ|9501|||
|ES|AGV|Alegria-Dulantzi de Alava|Alegria-Dulantzi de Alava|VI|-----6--|RL|0901||4250N 00243W|
|ES|AGN|Algue�a|Alguena||--3-----|RL|0212||3820N 00100W|
|ES|ALZ|Almanzora|Almanzora||--3-----|RL|0201||3720N 00208W|
|ES|ATG|Alonsotegui|Alonsotegui|BI|-23-----|RL|0701||4315N 00259W|
|ES|AMO|Amorebieta|Amorebieta|BI|-23-----|RL|0207||4313N 00243W|
|ES|G9R|Approved|Approved|O|--3-----|RL|2001||4323N 00543W|
|ES|RCE|Arciniega|Arciniega|VI|-23-----|RL|1301||4307N 00307W|
|ES|RGA|Arinaga|Arinaga|TF|--3-----|RL|2101||2750N 01526W|
|ES|ATJ|Artajona|Artajona||--3-----|RQ|1001||4235N 00146W|
|ES|ZCK|Ateca|Ateca|Z|-----6--|RL|0901||4120N 00147W|
|ES|ZUU|Azuara|Azuara|Z|--3-----|RL|1807||4115N 05211W|
|ES|ZCT|Bandeira|Bandeira|PO|-----6--|RL|0901||4244N 00818W|
|ES|BMA|Barciademera|Barciademera|PO|--3-----|RL|1301||4216N 00823W|
|ES|BDI|Bedia|Bedia||--3--6--|RQ|0607||4312N 00247W|
|ES|ESH|Belver de Cinca|Belver de Cinca|HU|--3-----|RL|1601||4141N 00012W|
|ES|BEM|Benidorm|Benidorm||1-------|RN|9803|||
|ES|BEI|Beri�in|Beriain|NA|--3-----|RL|0212||4244N 00138W|
|ES|BS3|Binissalem|Binissalem|PM|1----6--|RL|1201||3941N 00250E|
|ES|BRQ|Bora|Bora|PO|--3-----|RL|1301||4226N 00835W|
|ES|BVL|Buenavista Valdavia|Buenavista Valdavia|P|--3-----|RQ|1001||4238N 00436W|
|ES|Q5B|Caba�aquinta|Cabanaquinta|O|-----6--|AA|1607||4310N 00538W|
|ES|RET|Cabreton|Cabreton|LO|--3-----|AA|2007||4200N 00154W|
|ES|LEL|Calella|Calella|B|1-3-----|AA|1207||4137N 00240E|
|ES|CMM|Caminomorisco|Caminomorisco||--3-----|RQ|1001||4019N 00617W|
|ES|KPT|Can Picafort|Can Picafort|PM|--3-----|RQ|1001||3946N 00308E|
|ES|CNV|Canovellas|Canovellas||0-------|RQ|9307|||
|ES|CRC|Carcagente|Carcagente||--3-----|RQ|9501|||
|ES|CRM|C�rtama|Cartama||--3-----|RL|0212||3643N 00439W|
|ES|CSD|C�seda|Caseda||--3-----|RL|0212||4231N 00122W|
|ES|CAI|Castellv� de Rosan�s|Castellvi de Rosanes|B|--3--6--|RL|0501||4127N 00154E|
|ES|CAT|Catadau|Catadau||--3-----|RQ|9501|||
|ES|CCI|Cercedilla|Cercedilla|M|--3-----|RQ|1001||4044N 00403W|
|ES|CHP|Chipiona|Chipiona|CA|--3-----|RL|1301||3645N 00626W|
|ES|CTD|Ciutadilla|Ciutadilla|L|-----6--|RL|1201||4133N 00109E|
|ES|OLL|Comillas|Comillas|S|--3-----|RL|1301||4324N 00417W|
|ES|ORN|Cornellana|Cornellana|O|--3-----|RL|0901||4324N 00609W|
|ES|CT9|Cretas|Cretas|TE|--3-----|RL|1307||4056N 00013E|
|ES|URR|Curra|Curra|OR|--3-----|RQ|1007||4217N 00659W|
|ES|DHM|Dos Hermanas|Dos Hermanas||--3-----|RQ|9501|||
|ES|BCH|El Bruch|El Bruch|B|--3-----|RQ|1001||4135N 00147E|
|ES|EML|El Molar|El Molar|M|--3-----|RQ|0901||4044N 00335W|
|ES|ESO|El Rosario|El Rosario||--3-----|RL|0601||2827N 01621W|
|ES|EGT|Els Guiamets|Els Guiamets|T|--3-----|RL|1407||4106N 00045E|
|ES|ECZ|Escoriaza|Escoriaza||--3--6--|RQ|0607||4301N 00231W|
|ES|ESL|Estella/Lizarra|Estella/Lizarra|NA|-23-----|RL|0207||4240N 00201W|
|ES|FNN|Fernan N��ez|Fernan Nunez|CO|--3-----|RQ|1001||3740N 00443W|
|ES|FNT|Fontanar|Fontanar||--3-----|RL|0201||3741N 00257W|
|ES|FTA|Fromista|Fromista|P|--3-----|RQ|1001||4216N 00424W|
|ES|FJN|Fuentejalon|Fuentejalon|Z|-23--6--|RQ|0901|||
|ES|GLD|Gald�cano|Galdacano||--3-----|RL|0201||4314N 00250W|
|ES|GEN|Gerena|Gerena|SE|--3-----|RL|1501||3732N 00609W|
|ES|GZN|Gozon|Gozon|O|-----6--|RQ|0907||4336N 00547W|
|ES|GUR|Guadarrama|Guadarrama|M|-23-----|RL|0401||4041N 00405W|
|ES|GUM|Gumasa|Gumasa|TF|--3-----|RQ|1001||2829N 01621W|
|ES|HNR|Honrubia|Honrubia||--3-----|RQ|0607||3937N 00216W|
|ES|HNJ|Hu�neja|Hueneja|GR|--3-----|AA|1801||3710N 00258W|
|ES|IBZ|Ibiza|Ibiza|PM|1--4----|AI|1301||3854N 00126E|
|ES|IUA|Iurreta|Iurreta|BI|1-3-----|RL|0501||4310N 00238W|
|ES|JER|Jerte|Jerte||--3-----|RQ|1001||4013N 00545W|
|ES|KLL|La Ametlla de Mar|La Ametlla de Mar|T|1-3-----|AI|1207||4054N 00048E|
|ES|LCU|La Cuesta Tenerife|La Cuesta Tenerife|TF|--3-----|RL|1501||2810N 01617W|
|ES|JYS|La Joyosa|La Joyosa|Z|--3-----|RQ|1001||4145N 00104W|
|ES|PND|La Panadella|La Panadella|L|--3-----|RQ|1001||4137N 00124E|
|ES|LSA|La Seca|La Seca|VA|-----6--|AA|1607||4125N 00454W|
|ES|ZGP|Lachar|Lachar|GR|-----6--|RL|0901||3712N 00350W|
|ES|LAP|Lapuebla de Labarca|Lapuebla de Labarca||1-3-----|RL|0607||4230N 00234W|
|ES|LPD|Las Pedro�eras|Las Pedroneras||--3-----|RL|0212||3927N 00240W|
|ES|LMA|Lemona|Lemona|BI|--3--6--|RL|0907||4312N 00246W|
|ES|LID|Li�dena|Liedena|NA|--3-----|RL|1707||4237N 00116W|
|ES|ZGY|Llissa de Munt|Llissa de Munt|B|-----6--|RL|0901||4137N 00214E|
|ES|LXE|Lora de Estepa|Lora de Estepa||--3-----|RL|0212||3716N 00450W|
|ES|LSI|Los Silos|Los Silos||1-------|RQ|0901|||
|ES|MOD|Maderuelo|Maderuelo|SG|--3-----|RL|1601||4129N 00331W|
|ES|MJP|Malpica de Arba|Malpica de Arba|Z|--3-----|RL|1207||4218N 00107W|
|ES|ZIJ|Marcon|Marcon|PO|-----6--|RL|0901||4225N 00837W|
|ES|AAS|Massanes|Massanes|GI|--3-----|RQ|0907|||
|ES|ZHY|Meis|Meis|PO|-----6--|RL|0901||4230N 00845W|
|ES|MET|Miguel Esteban|Miguel Esteban||1-------|RQ|1001||3931N 00305W|
|ES|MJD|Mojados|Mojados|VA|--3-----|RL|0407||4126N 00439W|
|ES|ZIK|Monistrol Montserrat|Monistrol Montserrat|B|-----6--|RL|0901||4137N 00151W|
|ES|MTG|Montgat|Montgat|B|-23-----|RL|1301||4128N 00217E|
|ES|MLT|Morales de Toro|Morales de Toro|ZA|--3-----|RL|1501||4132N 00518W|
|ES|MUD|Mudri�n|Mudrian|SG|-----6--|RL|1201||4113N 00420W|
|ES|MRS|Muros|Muros||1-------|RQ|9506|||
|ES|NFO|Navalmoral de la Mata|Navalmoral de la Mata||--3-----|RL|0212||3954N 00532W|
|ES|NGR|Noguerones|Noguerones||--3-----|RQ|1001||3736N 00405W|
|ES|OOB|Oimbra|Oimbra|OR|--3-----|RL|1301||4153N 00728W|
|ES|OLO|Olost|Olost|B|--3-----|RL|1601||4159N 00206E|
|ES|PGR|Organy�|Organya||--3-----|RL|0607||4213N 00120E|
|ES|OSU|Osuna|Osuna||--3-----|RQ|9501|||
|ES|PGQ|Palau de Plegamans|Palau de Plegamans||0-------|RQ|9307|||
|ES|PDM|Paradela|Paradela|PO|--3-----|RL|0901||4233N 00843W|
|ES|GAX|Pegalajar|Pegalajar|J|--3-----|RL|1307||3744N 00339W|
|ES|PEI|Perillo|Perillo|C|--3-----|RL|1701||4320N 00822W|
|ES|PIP|Pinos Puente|Pinos Puente|GR|--3-----|RL|0901||3715N 03450W|
|ES|PLC|Polanco|Polanco|S|1-------|RQ|0901|||
|ES|LL4|Portella|Portella|L|--3-----|RL|1701||4144N 00039E|
|ES|PT8|Pradell de la Teixeta|Pradell de la Teixeta|T|--3-----|RL|1407||4109N 00052E|
|ES|LPC|Puebla del Carami�al|Puebla del Caraminal|C|1-3-----|AI|1207||4236N 00856W|
|ES|PUZ|Puerto de Mazarron|Puerto de Mazarron||--3-----|RQ|9501|||
|ES|GOX|Quel|Quel|LO|--3-----|RL|1307||4213N 00203W|
|ES|RDV|Ramales de la Victoria|Ramales de la Victoria|S|--3-----|RQ|1001||4315N 00327W|
|ES|RIA|Rianjo|Rianjo|C|--3-----|RL|1301||4239N 00849W|
|ES|RPL|Ripoll|Ripoll||123-----|RL|0601||4212N 00211E|
|ES|RNA|Ronda|Ronda||--3-----|RQ|9501|||
|ES|SAC|Saceruela|Saceruela|CR|--3-----|RQ|1001||3857N 00437W|
|ES|SAL|Salteras|Salteras||0-------|RQ|9307|||
|ES|SCR|San Carlos de la R�pita|San Carlos de la Rapita|T|123-----|AI|0212||4037N 00036E|
|ES|SIA|San Isidro de Albatera|San Isidro de Albatera|A|--3-----|RL|0901||3739N 00105W|
|ES|DEP|San Mart�n De Pusa|San Martin De Pusa|TO|-----6--|RL|2001||3947N 00438E|
|ES|SAR|San Rom�n|San Roman|VI|-23-----|RL|0401||4252N 00218W|
|ES|SP4|Sanguineda|Sanguineda|PO|1----6--|RL|1107||4211N 00838W|
|ES|ICC|Sant Fost de Campcentelles|Sant Fost de Campcentelles|B|--3-----|RL|1401||4130N 00214E|
|ES|ZLL|Sant Miquel de Balenya|Sant Miquel de Balenya|B|-----6--|RL|0901||4149N 00213E|
|ES|OMB|Santa Comba|Santa Comba|C|--3-----|RQ|1001||4302N 00849W|
|ES|SCO|Santa Maria de Corc�|Santa Maria de Corco|B|--3-----|RL|0701||4202N 00222E|
|ES|SCQ|Santiago de Compostela|Santiago de Compostela||---4----|AI|9601|||
|ES|NEN|Sarinena|Sarinena|HU|--3-----|RQ|0907||4147N 01000W|
|ES|LEU|Seo de Urgel|Seo de Urgel||--34----|AI|0212||4221N 00128E|
|ES|GLA|Singla|Singla|MU|--3-----|RL|0907||3801N 00156W|
|ES|SDF|Sot de Ferrer|Sot de Ferrer|CS|--3-----|RQ|1001||3904N 00024W|
|ES|TAF|Tafalla|Tafalla||--3-----|RQ|9501|||
|ES|TAV|Tavernes de la Valldigna|Tavernes de la Valldigna|V|--3-----|RL|0901||3904N 00015W|
|ES|TJF|Tijarafe|Tijarafe|TF|1-3-----|RL|1207||2842N 01757W|
|ES|TDG|Torre de Don Miguel|Torre de Don Miguel|CC|--3-----|AA|2207||4014N 00634W|
|ES|TCH|Torremocha|Torremocha|CC|--3-----|RQ|1001||3921N 00610W|
|ES|TRE|Trebujena|Trebujena|CA|1-------|RL|0212||3652N 00610W|
|ES|TUY|T�y|Tuy||-23-----|RL|0212||4203N 00838W|
|ES|ZIT|Usansolo|Usansolo|V|-----6--|RL|0901||4313N 00249W|
|ES|VOS|Valdeolmos|Valdeolmos|M|--3-----|RL|1207||4038N 00327W|
|ES|VLA|Vallada|Vallada||--3-----|RQ|9501|||
|ES|VEP|Valls|Valls||--3-----|RQ|9501|||
|ES|VEL|V�lez Rubio|Velez Rubio|AL|--3-----|RQ|1001||3739N 00204W|
|ES|VRE|Vidreres|Vidreres|GI|--3-----|RQ|0901||4147N 00246E|
|ES|ZFW|Vilanova de la Barca|Vilanova de la Barca|L|-----6--|RL|0901||4141N 00043E|
|ES|VBP|Villabuena del Puente|Villabuena del Puente|ZA|--3-----|RL|1001||4123N 00524W|
|ES|VGZ|Villagonzalo|Villagonzalo||--3-----|RQ|9501|||
|ES|VMN|Villamartin|Villamartin|CC|--3-----|RQ|1001||3652N 00538W|
|ES|VVT|Villanueva de Tapia|Villanueva de Tapia||--3-----|RL|0212||3711N 00420W|
|ES|ZVI|Villargordo del Cabriel|Villargordo del Cabriel|V|--3-----|RQ|0907||3932N 00126W|
|ES|VVX|Villaviciosa|Villaviciosa||--3-----|RQ|9501|||
|ES|XDL|Xinzo de Limia Santa Marian|Xinzo de Limia Santa Marian|OR|--3-----|RL|0501||4203N 00743W|
|ES|ZAR|Zar�tamo|Zaratamo|BI|--3-----|RL|0401||4313N 00252W|
|ET|AWA|Awassa|Awassa||---4----|AI|9601|||
|ET|OKA|Kembolcha|Kembolcha|OR|-----6--|RL|0901||0730N 04111E|
|FI|APK|�k�slompolo|Akaslompolo|10|--3-----|AA|1601||6736N 02409E|
|FI|ECK|Ecker�|Eckero|01|1------B|AC|1307||6013N 01937E|
|FI|HAP|Haapam�ki|Haapamaki||--3-----|RL|1201||6215N 02427E|
|FI|HJI|Hausj�rvi|Hausjarvi|06|-23-----|RL|1307||6047N 02456E|
|FI|IIO|Ii|Ii|14|--3-----|RL|1501||6519N 02522E|
|FI|JPA|Jepua (Jeppo)|Jepua (Jeppo)|12|--3-----|AF|1401||6324N 02237E|
|FI|KGI|Kangasniemi|Kangasniemi||--3-----|RL|1301||6159N 02638E|
|FI|KEL|Kello|Kello|15|--3-----|RL|2001||6508N 02520E|
|FI|KOJ|Kojonkulma|Kojonkulma|19|1-------|RL|1401||6057N 02259E|
|FI|SPJ|Kuivasalmi|Kuivasalmi|13|--3-----|RL|1307||6317N 02950E|
|FI|LLA|Lapinlahti|Lapinlahti|15|-23-----|RL|1307||6322N 02724E|
|FI|LON|Littoinen|Littoinen|19|-23-----|RL|1307||6026N 02224E|
|FI|MTI|Marttila|Marttila||--3-----|RL|1301||6035N 02254E|
|FI|NAJ|Naaraj�rvi|Naarajarvi|04|-23-----|RL|1307||6217N 02705E|
